epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1433,1.2224,4.56193,1.22907,0.39391,0.05495,0.07462,0.05701,1.2078,3.57153,1.18382,3.92597e-05,3.92597e-05,3.92597e-05
2,129.059,1.3414,3.34519,1.30958,0.51295,0.26571,0.26445,0.18942,1.31816,2.36241,1.28017,7.70369e-05,7.70369e-05,7.70369e-05
3,184.612,1.35385,2.56075,1.34076,0.54959,0.35139,0.36626,0.25416,1.28001,1.91307,1.27879,0.000113256,0.000113256,0.000113256
4,238.763,1.32741,2.21144,1.32702,0.58014,0.39785,0.40692,0.27597,1.26946,1.72041,1.26964,0.000110991,0.000110991,0.000110991
5,292.963,1.30542,2.04949,1.3121,0.57326,0.41033,0.4266,0.2899,1.23909,1.65745,1.25803,0.000108654,0.000108654,0.000108654
6,347.187,1.28168,1.96726,1.30103,0.56448,0.41579,0.43724,0.29887,1.2415,1.60945,1.25523,0.000106318,0.000106318,0.000106318
7,401.635,1.27097,1.8929,1.29299,0.57525,0.42452,0.44212,0.30111,1.2356,1.56241,1.25089,0.000103982,0.000103982,0.000103982
8,455.806,1.25809,1.84874,1.28551,0.56598,0.43676,0.45577,0.31333,1.23121,1.53412,1.24588,0.000101645,0.000101645,0.000101645
9,509.988,1.25012,1.80215,1.27908,0.60489,0.42775,0.46504,0.31723,1.22843,1.49727,1.24604,9.93088e-05,9.93088e-05,9.93088e-05
10,563.71,1.24454,1.77913,1.27618,0.56381,0.44243,0.46531,0.31957,1.22228,1.4929,1.24221,9.69724e-05,9.69724e-05,9.69724e-05
11,618.053,1.23993,1.73775,1.27095,0.57967,0.44666,0.46918,0.32097,1.21839,1.47419,1.23569,9.4636e-05,9.4636e-05,9.4636e-05
12,672.76,1.23339,1.71013,1.26519,0.56355,0.45217,0.47098,0.32407,1.21377,1.4636,1.22947,9.22996e-05,9.22996e-05,9.22996e-05
13,727.577,1.22509,1.69151,1.26229,0.59091,0.44707,0.47753,0.32994,1.21002,1.45374,1.22975,8.99632e-05,8.99632e-05,8.99632e-05
14,782.748,1.22477,1.66662,1.2569,0.56674,0.45216,0.47622,0.3257,1.21701,1.4477,1.23453,8.76268e-05,8.76268e-05,8.76268e-05
15,837.18,1.21823,1.6463,1.25234,0.58122,0.46084,0.476,0.32514,1.21663,1.44256,1.229,8.52904e-05,8.52904e-05,8.52904e-05
16,890.998,1.21415,1.62633,1.25059,0.59505,0.45383,0.47835,0.32622,1.21168,1.43051,1.22652,8.2954e-05,8.2954e-05,8.2954e-05
17,944.676,1.20238,1.60782,1.24954,0.5973,0.46225,0.48403,0.33094,1.2029,1.4248,1.21916,8.06176e-05,8.06176e-05,8.06176e-05
18,998.55,1.20852,1.59683,1.24554,0.5745,0.46253,0.48474,0.33259,1.20411,1.41645,1.22293,7.82812e-05,7.82812e-05,7.82812e-05
19,1052.45,1.19696,1.58525,1.24384,0.57319,0.47694,0.49033,0.33542,1.20425,1.40452,1.22474,7.59448e-05,7.59448e-05,7.59448e-05
20,1107.11,1.19934,1.56697,1.24253,0.60871,0.4583,0.49062,0.33667,1.20326,1.40452,1.22115,7.36084e-05,7.36084e-05,7.36084e-05
21,1161.62,1.19553,1.55636,1.23974,0.61135,0.45501,0.48893,0.33751,1.20296,1.3992,1.22246,7.1272e-05,7.1272e-05,7.1272e-05
22,1216.27,1.18686,1.53273,1.2347,0.59753,0.4566,0.48916,0.33771,1.20374,1.40254,1.22123,6.89356e-05,6.89356e-05,6.89356e-05
23,1270.57,1.19152,1.52609,1.23631,0.61004,0.45786,0.48981,0.33828,1.20004,1.38978,1.21808,6.65992e-05,6.65992e-05,6.65992e-05
24,1325.07,1.18209,1.51667,1.23251,0.58329,0.46774,0.49268,0.33873,1.19874,1.38408,1.21367,6.42628e-05,6.42628e-05,6.42628e-05
25,1379.34,1.1765,1.4971,1.22351,0.60441,0.46802,0.49849,0.34341,1.20003,1.38458,1.21699,6.19264e-05,6.19264e-05,6.19264e-05
26,1433.88,1.17878,1.49452,1.22937,0.61049,0.46027,0.49701,0.34209,1.19362,1.37716,1.21757,5.959e-05,5.959e-05,5.959e-05
27,1488.4,1.18069,1.48135,1.22394,0.60865,0.46032,0.49578,0.34221,1.19471,1.36507,1.21323,5.72536e-05,5.72536e-05,5.72536e-05
28,1541.85,1.16864,1.46399,1.22271,0.6048,0.47199,0.50226,0.34631,1.19327,1.35984,1.21365,5.49172e-05,5.49172e-05,5.49172e-05
29,1595.99,1.16652,1.45495,1.21881,0.60071,0.4772,0.50066,0.34631,1.19316,1.36169,1.20938,5.25808e-05,5.25808e-05,5.25808e-05
30,1649.71,1.16572,1.44622,1.21617,0.59643,0.47414,0.50383,0.34731,1.19511,1.3585,1.21377,5.02444e-05,5.02444e-05,5.02444e-05
31,1703.05,1.16335,1.44144,1.2152,0.58944,0.4803,0.50381,0.34786,1.1899,1.35884,1.21158,4.7908e-05,4.7908e-05,4.7908e-05
32,1756.69,1.16241,1.42917,1.21475,0.60896,0.47206,0.50437,0.34779,1.19172,1.35278,1.21154,4.55716e-05,4.55716e-05,4.55716e-05
33,1810.22,1.1603,1.42641,1.21386,0.62907,0.46589,0.50792,0.35134,1.1879,1.34685,1.20652,4.32352e-05,4.32352e-05,4.32352e-05
34,1863.95,1.15535,1.41306,1.21012,0.60239,0.47391,0.50436,0.34826,1.19363,1.356,1.20893,4.08988e-05,4.08988e-05,4.08988e-05
35,1917.57,1.15646,1.41042,1.20795,0.61553,0.46536,0.50437,0.34853,1.19109,1.34524,1.20703,3.85624e-05,3.85624e-05,3.85624e-05
36,1971.01,1.15121,1.40347,1.20969,0.6104,0.47383,0.50557,0.35019,1.19032,1.3497,1.20687,3.6226e-05,3.6226e-05,3.6226e-05
37,2024.62,1.14632,1.39869,1.20423,0.61939,0.47359,0.51125,0.35536,1.18686,1.33534,1.20579,3.38896e-05,3.38896e-05,3.38896e-05
38,2078.25,1.14832,1.39264,1.20548,0.62434,0.47219,0.51099,0.35235,1.18973,1.33994,1.20555,3.15532e-05,3.15532e-05,3.15532e-05
39,2132.56,1.14248,1.37689,1.19984,0.61412,0.48001,0.51203,0.35589,1.18688,1.33329,1.20306,2.92168e-05,2.92168e-05,2.92168e-05
40,2186.38,1.13834,1.37256,1.20127,0.62365,0.47303,0.51029,0.35451,1.18923,1.33383,1.20738,2.68804e-05,2.68804e-05,2.68804e-05
